




		
		Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Servicio de Estacionamiento Regulado (SER). Recaudación de parquímetros;transporte;Recaudación,parquímetros;01/06/2020;15/01/2024;02/03/2021;31/12/2023;anual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;22941;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=691f5be190212710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Contaminación acústica (datos diarios y semanales);medio-ambiente;contaminación acústica, ruido;04/05/2020;30/06/2020;01/03/2020;27/06/2020;informacionhistorica;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;4596;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0ea1417c43dd1710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Calidad del aire (datos diarios);medio-ambiente;calidad del aire, contaminación, dióxido de nitrógeno, ozono;04/05/2020;30/06/2020;01/03/2020;28/06/2020;informacionhistorica;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;9913;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=90ee417c43dd1710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Mercamadrid: volumen y precio de productos comercializados;comercio;Comercio Mayorista, Mercamadrid, Mercados Centrales;21/04/2020;31/08/2020;13/04/2020;08/08/2020;informacionhistorica;Mercamadrid S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,txt,;22628;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d4029b855e891710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de Puestos de Trabajo (RPT) del Ayuntamiento de Madrid y Organismos Autónomos 2020;sector-publico;rpt, puestos empleados trabajadores, puestos de trabajo;17/04/2020;25/01/2021;01/01/2020;31/12/2020;informacionhistorica;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;5691;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=cdfad2d4c2881710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Personas que viven solas por Edad según Distrito y Barrio, y por Sexo (Explotación estadística);demografia;Demografía, mayores;05/04/2020;;;;anual;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;2323;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ac2fce1b0ef31710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Puntos de recarga de vehículos eléctricos instalados en edificios municipales (para flota municipal);transporte;Puntos recarga, enchufes, coches eléctricos, energía;18/03/2020;;;;mensual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;856;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=715953387ffa0710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Generación de energía solar fotovoltaica en edificios y centros municipales;energia;Paneles, Fotovoltaica, Energía;18/03/2020;;;;mensual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1449;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e2eece114eaa0710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de opinión de las personas usuarias de los Centros de Servicios Sociales de Atención Social Primaria;sociedad-bienestar;servicios sociales, encuesta, opinión;28/02/2020;26/04/2024;;;anual;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1487;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ee34bd03e1b90710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de usuarios del Servicio de Lavandería Domiciliaria;sociedad-bienestar;ervicios públicos, sondeos encuestas;28/02/2020;04/12/2023;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;783;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ea33bd03e1b90710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de usuarios/as del servicio Respiro Familiar;sociedad-bienestar;servicios públicos,  sondeos encuestas;28/02/2020;25/01/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1243;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=569dbd03e1b90710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción del servicio de productos de apoyo;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;02/03/2020;;;informacionhistorica;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;721;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b0e724b51ca90710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción con el Programa de Ejercicio al Aire Libre;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;29/04/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1065;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4be26f6ad2c70710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción del Servicio de Fisioterapia Preventiva;sociedad-bienestar;servicios públicos, sondeos encuestas;28/03/2020;08/03/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1429;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d05e6f6ad2c70710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de personas usuarias del Servicio de Ayuda a Domicilio;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;09/09/2024;;;anual;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;4075;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=300a6f6ad2c70710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias con el Servicio de Teleasistencia Domiciliaria;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;14/03/2024;;;anual;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;3709;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=be76f6071bb70710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de participantes en el programa Cuidar a Quienes Cuidan;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;13/09/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1600;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d6cec5a8ddb70710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción con el servicio de los Centros Municipales para Mayores;sociedad-bienestar;servicios públicos, sondeos encuestas;25/02/2020;08/03/2024;;;anual;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;2644;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=45f2a25f26770710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encuesta de satisfacción de participantes en el programa Ciclismo por Madrid;deporte;servicios públicos, sondeos encuestas;10/03/2019;05/10/2023;;;anual;Dirección General de Deporte;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1335;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d5c2a25f26770710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias del servicio de Comidas a Domicilio;sociedad-bienestar;servicios públicos,sondeos encuestas;28/02/2020;19/01/2022;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;2187;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c351a25f26770710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias de los Centros de Día;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;31/01/2024;;31/12/2023;anual;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;2733;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=49bfa25f26770710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encargos a medios propios personificados;economia;Encargos,medios,propios,personificados;04/02/2020;14/10/2024;01/01/2019;30/09/2024;trimestral;Oficina de la Secretaría de la Junta de Gobierno;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3092;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c5df99d768f00710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Empresas adheridas a los Códigos de Buenas Prácticas;comercio;empresas, arbitraje, consumo, arbitral, OMIC;29/01/2020;;;;anual;Dirección General de Comercio, Hostelería y Consumo;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1090;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0f52a10004cef610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Calidad del aire. Episodios de alta contaminación atmosférica por dióxido de nitrógeno;medio-ambiente;Contaminación, aire, protocolo, episodio, nitrógeno, salud, restricciones, calidad, no2, dioxido;22/11/2019;;;;tiemporeal;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;4134;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=1ae9d1caa41be610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Calidad del aire. Episodios de alta contaminación atmosférica por ozono;medio-ambiente;Contaminación, aire, protocolo, episodio, ozono, salud, calidad;22/11/2019;;;;tiemporeal;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;1616;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=af9140c2df29e610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Gastos protocolarios y de viajes (Corporación 2019-2023);sector-publico;gastos,protocolarios,viajes;15/11/2019;15/11/2023;01/07/2019;30/06/2023;trimestral;Secretarías Generales Técnicas de las Áreas de Gobierno, Coordinaciones de los Distritos, y Gerencias de los Organismos Autónomos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;12043;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7afa3a37efe6e610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Mobiliario urbano. Juegos en áreas actividades deportivas;urbanismo-infraestructuras;mobiliario, juegos,deportivos;18/10/2019;19/02/2025;;30/09/2023;diaria;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,zip,xls,api,xml,;7226;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4190ebe934edd610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Mobiliario urbano. Juegos en áreas actividades de mayores;urbanismo-infraestructuras;mobiliario, juegos,mayores;18/10/2019;19/02/2025;;30/09/2023;diaria;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xls,shp,api,xml,;7857;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=fa3cebe934edd610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Mupis y columnas informativas;medio-ambiente;Panel informativo, panel publicitario, publicidad, mupi, pantalla, soporte, soporte publicitario, columna, columna informativa, columna publicitaria.;08/10/2019;30/01/2025;;31/01/2025;mensual;Dirección General de Patrimonio Cultural y Paisaje Urbano;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,geo,;3243;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=716841b122bad610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Demandas de servicio en Atención Social Primaria de Centros de Servicios Sociales;sociedad-bienestar;personas, atendidas, servicios, sociales;28/10/2019;09/01/2025;01/01/2019;31/12/2024;trimestral;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;9836;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=40ab4e8b0327d610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Entrevistas realizadas en Atención Social Primaria de Centros de Servicios Sociales;sociedad-bienestar;personas, atendidas, servicios, sociales;28/10/2019;09/01/2025;01/01/2019;31/12/2024;trimestral;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;9442;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=656b4e8b0327d610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Atenciones en Atención Social Primaria de Centros de Servicios Sociales;sociedad-bienestar;personas, atendidas, servicios, sociales;28/10/2019;09/01/2025;01/01/2019;31/12/2024;trimestral;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;16493;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a35b4e8b0327d610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Mupis contenedores de pilas;medio-ambiente;mupi, mupis cubos, contenedor pila, basura;13/09/2019;30/01/2025;;31/01/2025;mensual;Dirección General de Patrimonio Cultural y Paisaje Urbano;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;2248;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=32f3553c74a1d610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Madrid Salud. Inspecciones en establecimientos con incidencia en la salud pública;salud;inspecciones,salud,publica;20/08/2019;11/02/2025;01/01/2017;31/12/2024;trimestral;Madrid Salud;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;9009;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=5dac20a1f7eac610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sanciones firmes y medidas de restablecimiento de la legalidad en relación con obras en vía pública;urbanismo-infraestructuras;Sanciones, restablecimiento, obras, vía pública;13/08/2019;13/11/2024;;;trimestral;Dirección General de Conservación de Vías Públicas;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;6979;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=49a4407f3d98c610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de los edificios declarados en ruina legal y física;urbanismo-infraestructuras;enajenaciones,patrimonio,municipal,suelo;12/08/2019;04/02/2025;;31/12/2024;trimestral;Dirección General de la Edificación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;4129;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=1778482be358c610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de autorizaciones administrativas que permitan la ocupación de vías y espacios de dominio público municipal, promovidas por otras Administraciones Públicas;urbanismo-infraestructuras;enajenaciones,patrimonio,municipal,suelo;02/08/2019;11/11/2024;01/02/2017;30/06/2024;trimestral;Dirección General de Conservación de Vías Públicas;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;4438;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=eb72e1ab6815c610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de licencias de obras en vía pública;urbanismo-infraestructuras;enajenaciones,patrimonio,municipal,suelo;02/08/2019;13/11/2024;;;trimestral;Dirección General de Conservación de Vías Públicas;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1818;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=19e0e1ab6815c610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estructuras singulares en vías y espacios públicos;urbanismo-infraestructuras;enajenaciones,patrimonio,municipal,suelo;02/08/2019;02/12/2024;;;trimestral;Dirección General de Conservación de Vías Públicas;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1964;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e2ab2bcbb034c610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Inspecciones urbanísticas;urbanismo-infraestructuras;enajenaciones,patrimonio,municipal,suelo;02/08/2019;17/01/2025;;;trimestral;Dirección General de la Edificación , Agencia de Actividades;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;4881;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=f33c32c4c624c610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Inspecciones de prevención de incendios;seguridad;inspecciones, prevención, incendios, fuego, residencial, vivienda;02/08/2019;14/02/2025;01/01/2017;31/01/2025;trimestral;Dirección General de Bomberos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;9794;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e665b78ca7d3c610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sondeo de opinión ciudadana sobre la percepción de seguridad en el distrito de Villaverde;seguridad;sondeo,seguridad,villaverde;26/07/2019;26/07/2019;;;informacionhistorica;Dirección General de Transparencia y Calidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;1782;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=616bcf71d6d2c610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encuesta Marca Madrid;sector-publico;marca,madrid;26/07/2019;22/05/2024;;;informacionhistorica;Dirección General de Relaciones Institucionales y Proyectos Estratégicos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;1605;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=bc0032adefc2c610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sondeo Madrid Central (serie);transporte;tráfico, medio ambiente, sondeos opinión;19/07/2019;25/07/2019;;;informacionhistorica;Dirección General de Transparencia y Calidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3257;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6eb7d79c2b90c610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Mercamadrid: empresas y ubicación;comercio;Comercio Mayorista, Mercamadrid, Mercados Centrales;08/07/2019;08/10/2024;01/01/2019;30/09/2024;trimestral;Mercamadrid S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,txt,;6981;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=3ab28ebbc762b610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Personas atendidas en Atención Social Primaria de Centros de Servicios Sociales;sociedad-bienestar;personas, atendidas, servicios, sociales;28/10/2019;09/01/2025;01/01/2018;31/12/2024;trimestral;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;12823;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=8c936c7fe412b610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Ayudas sociales;sector-publico;ayudas,sociales;24/05/2019;13/02/2025;01/01/2014;30/06/2022;mensual;Dirección General de Presupuestos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xls,api,xml,;23424;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=00937b777f8ea610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
